DATE,JPNASSETS
1999-01-01,775870.833333333333
2000-01-01,914250.916666666667
2001-01-01,1136037.416666666667
2002-01-01,1276313.500000000000
2003-01-01,1307909.333333333333
2004-01-01,1397837.750000000000
2005-01-01,1492591.500000000000
2006-01-01,1260544.750000000000
2007-01-01,1098593.000000000000
2008-01-01,1126153.916666666667
2009-01-01,1173739.583333333333
2010-01-01,1214449.833333333333
2011-01-01,1360554.500000000000
2012-01-01,1468397.416666666667
2013-01-01,1924405.333333333333
2014-01-01,2648754.666666666667
2015-01-01,3497002.833333333333
2016-01-01,4368854.500000000000
2017-01-01,5043781.916666666667
2018-01-01,5419449.250000000000
2019-01-01,.
