DATE,QJPN368BIS_NBD19900101
1956-01-01,135.29412
1957-01-01,186.65441
1958-01-01,175.64338
1959-01-01,173.87868
1960-01-01,196.02941
1961-01-01,269.65074
1962-01-01,154.09926
1963-01-01,106.12132
1964-01-01,103.69485
1965-01-01,82.42647
1966-01-01,54.59559
1967-01-01,93.78676
1968-01-01,128.93382
1969-01-01,156.65441
1970-01-01,153.38235
1971-01-01,120.27574
1972-01-01,125.75368
1973-01-01,242.88603
1974-01-01,104.20956
1975-01-01,-29.72426
1976-01-01,17.26103
1977-01-01,31.25000
1978-01-01,41.47059
1979-01-01,69.39338
1980-01-01,96.48897
1981-01-01,80.12868
1982-01-01,57.62868
1983-01-01,35.88235
1984-01-01,23.84191
1985-01-01,18.47426
1986-01-01,19.28309
1987-01-01,54.66912
1988-01-01,43.03309
1989-01-01,56.94853
1990-01-01,100.00000
1991-01-01,32.16912
1992-01-01,-28.43750
1993-01-01,-31.85662
1994-01-01,-17.18750
1995-01-01,-11.25000
1996-01-01,-13.34559
1997-01-01,-9.59559
1998-01-01,-12.37132
1999-01-01,-22.88603
2000-01-01,-27.97794
2001-01-01,-32.29779
2002-01-01,-38.89706
2003-01-01,-45.77206
2004-01-01,-45.00000
2005-01-01,-35.55147
2006-01-01,-21.89338
2007-01-01,-7.62868
2008-01-01,-11.58088
2009-01-01,-27.72059
2010-01-01,10.58824
2011-01-01,0.49632
2012-01-01,-6.43382
2013-01-01,12.02206
2014-01-01,11.47059
2015-01-01,17.83088
2016-01-01,16.32353
2017-01-01,18.71324
2018-01-01,14.22794
2019-01-01,.
