Macrotrends Data Download

Japan GDP Growth Rate 1961-2019


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,12.0435
1962-12-31,8.909,-3.13
1963-12-31,8.4736,-0.44
1964-12-31,11.6767,3.2
1965-12-31,5.8197,-5.86
1966-12-31,10.6386,4.82
1967-12-31,11.0821,0.44
1968-12-31,12.8825,1.8
1969-12-31,12.4779,-0.4
1970-12-31,0.3991,-12.08
1971-12-31,4.699,4.3
1972-12-31,8.4135,3.71
1973-12-31,8.0326,-0.38
1974-12-31,-1.2252,-9.26
1975-12-31,3.0916,4.32
1976-12-31,3.975,0.88
1977-12-31,4.3903,0.42
1978-12-31,5.2719,0.88
1979-12-31,5.484,0.21
1980-12-31,2.8176,-2.67
1981-12-31,4.2093,1.39
1982-12-31,3.3125,-0.9
1983-12-31,3.523,0.21
1984-12-31,4.502,0.98
1985-12-31,5.2334,0.73
1986-12-31,3.3265,-1.91
1987-12-31,4.7307,1.4
1988-12-31,6.785,2.05
1989-12-31,4.858,-1.93
1990-12-31,4.8927,0.03
1991-12-31,3.4175,-1.48
1992-12-31,0.8481,-2.57
1993-12-31,-0.5179,-1.37
1994-12-31,0.9931,1.51
1995-12-31,2.7421,1.75
1996-12-31,3.1,0.36
1997-12-31,1.076,-2.02
1998-12-31,-1.1284,-2.2
1999-12-31,-0.252,0.88
2000-12-31,2.7796,3.03
2001-12-31,0.4063,-2.37
2002-12-31,0.118,-0.29
2003-12-31,1.5282,1.41
2004-12-31,2.2047,0.68
2005-12-31,1.6627,-0.54
2006-12-31,1.42,-0.24
2007-12-31,1.6542,0.23
2008-12-31,-1.0935,-2.75
2009-12-31,-5.4164,-4.32
2010-12-31,4.1917,9.61
2011-12-31,-0.1154,-4.31
2012-12-31,1.4951,1.61
2013-12-31,2.0003,0.51
2014-12-31,0.3747,-1.63
2015-12-31,1.2229,0.85
2016-12-31,0.6091,-0.61
2017-12-31,1.9288,1.32
2018-12-31,0.788,-1.14
